fips,fips_char,cbsa13,cbsatype13,cbsaname,pop10,purchase2015,purchase2016,purchase2017,purchase2018,purchase2019,purchase2020,purchase2021,purchase2022,rolling_average,proportion1000
18077,18077,31500,Micro,"Madison, IN (Micro)",32428,20,20,33,43,26,39,23,33,32.8,1.011471568
18079,18079,35860,Micro,"North Vernon, IN (Micro)",28525,10,13,16,17,19,17,11,15,15.8,0.553900088
18081,18081,26900,Metro,"Indianapolis-Carmel-Anderson, IN (Metro)",139654,250,256,296,310,295,338,270,243,291.2,2.085153307
18083,18083,47180,Micro,"Vincennes, IN (Micro)",38440,8,23,22,19,18,19,26,35,23.4,0.608740895
18085,18085,47700,Micro,"Warsaw, IN (Micro)",77358,44,50,60,41,56,40,46,36,43.8,0.566198712
18087,18087,,Nonmetro,,37128,9,17,11,8,10,10,10,11,9.8,0.263951735
18089,18089,16980,Metro,"Chicago-Naperville-Elgin, IL-IN-WI (Metro)",496005,311,298,365,386,379,413,381,388,389.4,0.785072731
18091,18091,33140,Metro,"Michigan City-La Porte, IN (Metro)",111467,80,74,91,84,85,75,79,79,80.4,0.721289709
18093,18093,13260,Micro,"Bedford, IN (Micro)",46134,43,45,65,61,68,53,70,73,65,1.408939177
18095,18095,26900,Metro,"Indianapolis-Carmel-Anderson, IN (Metro)",131636,89,78,127,115,140,134,157,160,141.2,1.072654897
18097,18097,26900,Metro,"Indianapolis-Carmel-Anderson, IN (Metro)",903393,625,703,722,758,694,794,669,725,728,0.805850831
18099,18099,38500,Micro,"Plymouth, IN (Micro)",47051,19,23,19,19,34,20,30,38,28.2,0.599349642
18101,18101,,Nonmetro,,10334,8,10,9,5,8,8,5,12,7.6,0.735436423
18103,18103,37940,Micro,"Peru, IN (Micro)",36903,21,20,24,24,35,38,26,41,32.8,0.888816627
18105,18105,14020,Metro,"Bloomington, IN (Metro)",137974,96,109,106,106,96,109,111,97,103.8,0.752315654
18107,18107,18820,Micro,"Crawfordsville, IN (Micro)",38124,25,29,42,42,41,40,36,45,40.8,1.070192005
18109,18109,26900,Metro,"Indianapolis-Carmel-Anderson, IN (Metro)",68894,93,105,95,112,118,127,116,110,116.6,1.692455076
18111,18111,16980,Metro,"Chicago-Naperville-Elgin, IL-IN-WI (Metro)",14244,7,15,6,9,11,10,7,8,9,0.631844987
18113,18113,28340,Micro,"Kendallville, IN (Micro)",47536,16,32,21,33,33,24,32,37,31.8,0.668966678
18115,18115,17140,Metro,"Cincinnati, OH-KY-IN (Metro)",6128,1,3,3,6,5,8,9,4,6.4,1.044386423
18117,18117,,Nonmetro,,19840,8,13,10,9,13,15,15,18,14,0.705645161
18119,18119,14020,Metro,"Bloomington, IN (Metro)",21575,24,22,15,25,18,20,33,19,23,1.066048667
18121,18121,,Nonmetro,,17339,7,11,14,9,11,8,19,12,11.8,0.680546744
18123,18123,,Nonmetro,,19338,8,8,6,13,13,8,22,15,14.2,0.734305512
18125,18125,27540,Micro,"Jasper, IN (Micro)",12845,6,10,4,8,8,11,12,9,9.6,0.747372518
18127,18127,16980,Metro,"Chicago-Naperville-Elgin, IL-IN-WI (Metro)",164343,152,163,191,218,185,191,184,185,192.6,1.171939176
18129,18129,21780,Metro,"Evansville, IN-KY (Metro)",25910,16,22,11,12,25,21,20,19,19.4,0.748745658
18131,18131,,Nonmetro,,13402,2,3,8,7,4,11,11,12,9,0.671541561
18133,18133,26900,Metro,"Indianapolis-Carmel-Anderson, IN (Metro)",37963,30,45,36,43,36,50,42,51,44.4,1.169559835
18135,18135,,Nonmetro,,26171,4,18,14,11,13,16,11,16,13.4,0.512017118
18137,18137,,Nonmetro,,28818,13,20,21,17,24,21,29,30,24.2,0.839752932
18139,18139,,Nonmetro,,17392,10,8,7,4,12,12,11,20,11.8,0.678472861
18141,18141,43780,Metro,"South Bend-Mishawaka, IN-MI (Metro)",266931,161,161,195,189,159,175,189,167,175.8,0.658597166
18143,18143,31140,Metro,"Louisville/Jefferson County, KY-IN (Metro)",24181,19,14,16,18,23,26,43,32,28.4,1.174475828
18145,18145,26900,Metro,"Indianapolis-Carmel-Anderson, IN (Metro)",44436,28,49,58,52,42,46,47,44,46.2,1.039697543
18147,18147,,Nonmetro,,20952,16,15,12,14,17,22,16,14,16.6,0.792287132
18149,18149,,Nonmetro,,23363,8,16,17,20,13,15,20,19,17.4,0.744767367
18151,18151,11420,Micro,"Angola, IN (Micro)",34185,21,37,31,28,27,38,27,31,30.2,0.883428404
18153,18153,45460,Metro,"Terre Haute, IN (Metro)",21475,7,12,12,8,10,12,13,17,12,0.55878929
18155,18155,,Nonmetro,,10613,5,6,9,13,6,11,14,10,10.8,1.0176199
18157,18157,29200,Metro,"Lafayette-West Lafayette, IN (Metro)",172780,123,113,170,178,150,149,150,146,154.6,0.894779488
18159,18159,,Nonmetro,,15936,8,11,17,17,9,15,17,11,13.8,0.865963855
18161,18161,17140,Metro,"Cincinnati, OH-KY-IN (Metro)",7516,7,5,6,3,4,6,4,1,3.6,0.47897818
18163,18163,21780,Metro,"Evansville, IN-KY (Metro)",179703,146,181,154,164,179,169,178,190,176,0.979393778
18165,18165,45460,Metro,"Terre Haute, IN (Metro)",16212,9,9,13,12,7,15,5,16,11,0.678509746
18167,18167,45460,Metro,"Terre Haute, IN (Metro)",107848,91,85,129,91,94,121,100,126,106.4,0.986573696
18169,18169,47340,Micro,"Wabash, IN (Micro)",32888,18,15,17,21,22,21,21,22,21.4,0.650693262
18171,18171,,Nonmetro,,8508,5,9,2,9,6,1,5,11,6.4,0.752233192
18173,18173,21780,Metro,"Evansville, IN-KY (Metro)",59689,64,67,74,74,71,72,94,103,82.8,1.38719027
18175,18175,31140,Metro,"Louisville/Jefferson County, KY-IN (Metro)",28262,21,16,37,25,31,28,26,31,28.2,0.997806242
18177,18177,39980,Micro,"Richmond, IN (Micro)",68917,28,53,47,44,63,62,59,52,56,0.812571644
18179,18179,23060,Metro,"Fort Wayne, IN (Metro)",27636,16,30,35,23,28,22,26,21,24,0.868432479
18181,18181,,Nonmetro,,24643,26,25,25,28,17,17,27,19,21.6,0.876516658
18183,18183,23060,Metro,"Fort Wayne, IN (Metro)",33292,30,33,34,35,28,41,22,25,30.2,0.907124835
19001,19001,,Nonmetro,,7682,3,3,3,4,3,5,2,3,3.4,0.442593075
19003,19003,,Nonmetro,,4029,0,0,1,,1,4,,2,1.4,0.347480764
19005,19005,,Nonmetro,,14330,5,4,3,3,5,4,6,3,4.2,0.293091417
19007,19007,,Nonmetro,,12887,7,12,10,7,9,5,6,9,7.2,0.558702568
19009,19009,,Nonmetro,,6119,5,3,4,1,,4,3,4,2.4,0.392220951
19011,19011,16300,Metro,"Cedar Rapids, IA (Metro)",26076,22,22,22,20,23,25,17,27,22.4,0.859027458
19013,19013,47940,Metro,"Waterloo-Cedar Falls, IA (Metro)",131090,55,61,64,61,75,66,57,67,65.2,0.49736822
19015,19015,14340,Micro,"Boone, IA (Micro)",26306,21,20,35,26,36,30,34,32,31.6,1.201246864
19017,19017,47940,Metro,"Waterloo-Cedar Falls, IA (Metro)",24276,13,11,21,18,14,10,19,15,15.2,0.626132806
19019,19019,,Nonmetro,,20958,3,10,19,15,9,11,18,14,13.4,0.639373986
19021,19021,44740,Micro,"Storm Lake, IA (Micro)",20260,5,6,8,10,4,6,8,9,7.4,0.365251728
19023,19023,,Nonmetro,,14867,3,8,8,8,9,7,8,8,8,0.538104527
19025,19025,,Nonmetro,,9670,3,1,7,4,7,3,6,5,5,0.517063082
19027,19027,,Nonmetro,,20816,2,7,11,9,10,12,15,11,11.4,0.54765565
19029,19029,,Nonmetro,,13956,6,9,8,8,12,7,15,11,10.6,0.759529951
19031,19031,,Nonmetro,,18499,16,14,20,18,19,21,20,19,19.4,1.048705335
19033,19033,32380,Micro,"Mason City, IA (Micro)",44151,22,24,27,35,24,25,28,37,29.8,0.6749564
19035,19035,,Nonmetro,,12072,3,4,4,3,7,11,6,7,6.8,0.563286945
19037,19037,,Nonmetro,,12439,5,2,2,2,2,3,4,5,3.2,0.257255406
19039,19039,,Nonmetro,,9286,8,10,4,5,7,8,8,5,6.6,0.710747362
19041,19041,43980,Micro,"Spencer, IA (Micro)",16667,6,12,6,8,11,13,12,15,11.8,0.70798584
19043,19043,,Nonmetro,,18129,5,5,8,9,14,10,6,6,9,0.496442164
19045,19045,17540,Micro,"Clinton, IA (Micro)",49116,29,30,27,44,51,46,39,51,46.2,0.940630344
19047,19047,,Nonmetro,,17096,4,2,3,4,4,11,3,3,5,0.292466074
19049,19049,19780,Metro,"Des Moines-West Des Moines, IA (Metro)",66135,91,114,112,121,102,103,137,127,118,1.784229228
19051,19051,36900,Micro,"Ottumwa, IA (Micro)",8753,1,8,4,5,2,4,4,3,3.6,0.411287559
19053,19053,,Nonmetro,,8457,0,3,8,4,2,4,4,3,3.4,0.402033818
19055,19055,,Nonmetro,,17764,5,5,11,5,2,7,9,6,5.8,0.32650304
19057,19057,15460,Micro,"Burlington, IA-IL (Micro)",40325,25,32,37,31,19,29,38,24,28.2,0.699318041
19059,19059,44020,Micro,"Spirit Lake, IA (Micro)",16667,15,15,6,12,11,16,10,20,13.8,0.82798344
19061,19061,20220,Metro,"Dubuque, IA (Metro)",93653,57,58,63,56,56,63,57,61,58.6,0.625714072
19063,19063,,Nonmetro,,10302,3,4,4,8,5,6,4,6,5.8,0.562997476
19065,19065,,Nonmetro,,20880,5,6,10,14,8,10,10,7,9.8,0.469348659
19067,19067,,Nonmetro,,16303,5,1,8,6,9,7,4,8,6.8,0.417101147
19069,19069,,Nonmetro,,10680,3,3,4,3,3,3,5,4,3.6,0.337078652
19071,19071,,Nonmetro,,7441,8,9,6,8,13,8,7,5,8.2,1.102002419
19073,19073,,Nonmetro,,9336,4,5,6,5,8,6,3,5,5.4,0.57840617
19075,19075,47940,Metro,"Waterloo-Cedar Falls, IA (Metro)",12453,6,3,7,6,11,7,6,9,7.8,0.626355095
19077,19077,19780,Metro,"Des Moines-West Des Moines, IA (Metro)",10954,4,4,7,10,10,9,8,10,9.4,0.858134015
19079,19079,,Nonmetro,,15673,6,7,11,8,5,12,10,11,9.2,0.586996746
19081,19081,,Nonmetro,,11341,4,6,3,4,3,6,7,4,4.8,0.4232431
19083,19083,,Nonmetro,,17534,8,11,10,7,9,9,21,13,11.8,0.672978214
19085,19085,36540,Metro,"Omaha-Council Bluffs, NE-IA (Metro)",14928,12,18,13,8,13,8,19,11,11.8,0.790460879
19087,19087,,Nonmetro,,20145,17,6,8,4,12,9,14,14,10.6,0.526185158
19089,19089,,Nonmetro,,9566,0,2,2,1,3,2,2,2,2,0.209073803
19091,19091,,Nonmetro,,9815,10,6,10,4,4,3,11,8,6,0.611309221
19093,19093,,Nonmetro,,7089,1,4,1,1,1,3,3,4,2.4,0.338552687
19095,19095,,Nonmetro,,16355,6,10,12,15,11,9,15,5,11,0.672577194
19097,19097,,Nonmetro,,19848,8,4,9,8,14,16,12,13,12.6,0.634824667
19099,19099,35500,Micro,"Newton, IA (Micro)",36842,35,36,38,32,31,26,46,48,36.6,0.99343141
19101,19101,21840,Micro,"Fairfield, IA (Micro)",16843,3,6,6,9,7,6,10,9,8.2,0.486849136
19103,19103,26980,Metro,"Iowa City, IA (Metro)",130882,60,69,67,82,64,84,98,96,84.8,0.64791186
19105,19105,16300,Metro,"Cedar Rapids, IA (Metro)",20638,6,17,15,18,15,14,5,17,13.8,0.668669445
19107,19107,,Nonmetro,,10511,3,5,3,4,2,6,2,9,4.6,0.437636761
19109,19109,,Nonmetro,,15543,5,7,4,8,6,5,10,4,6.6,0.42462845
19111,19111,22800,Micro,"Fort Madison-Keokuk, IA-IL-MO (Micro)",35862,20,15,9,19,19,15,17,22,18.4,0.51307791
19113,19113,16300,Metro,"Cedar Rapids, IA (Metro)",211226,182,196,211,200,214,189,183,200,197.2,0.93359719
19115,19115,,Nonmetro,,11387,6,4,6,8,5,4,6,5,5.6,0.491788882
19117,19117,,Nonmetro,,8898,1,3,8,7,7,8,10,7,7.8,0.876601483
19119,19119,,Nonmetro,,11581,2,4,3,6,4,4,7,10,6.2,0.535359641
19121,19121,19780,Metro,"Des Moines-West Des Moines, IA (Metro)",15679,18,18,20,22,24,23,29,13,22.2,1.415906627
19123,19123,36820,Micro,"Oskaloosa, IA (Micro)",22381,4,14,11,14,11,13,12,9,11.8,0.527232921
19125,19125,,Nonmetro,,33309,14,22,22,28,27,20,26,33,26.8,0.804587349
19127,19127,32260,Micro,"Marshalltown, IA (Micro)",40648,31,23,27,31,28,22,19,28,25.6,0.629797284
19129,19129,36540,Metro,"Omaha-Council Bluffs, NE-IA (Metro)",15059,33,33,45,41,35,40,34,34,36.8,2.443721363
19131,19131,,Nonmetro,,10776,3,2,7,5,7,6,2,8,5.6,0.519673348
19133,19133,,Nonmetro,,9243,3,6,5,9,6,7,10,10,8.4,0.908795846
19135,19135,,Nonmetro,,7970,4,3,3,3,2,3,1,3,2.4,0.301129235
19137,19137,,Nonmetro,,10740,4,5,5,9,9,10,8,8,8.8,0.819366853
19139,19139,34700,Micro,"Muscatine, IA (Micro)",42745,21,30,37,23,31,23,32,31,28,0.655047374
19141,19141,,Nonmetro,,14398,2,2,6,6,2,6,8,5,5.4,0.375052091
19143,19143,,Nonmetro,,6462,0,1,1,3,1,3,,5,2.4,0.371402043
19145,19145,,Nonmetro,,15932,6,12,9,10,16,16,13,13,13.6,0.853627919
19147,19147,,Nonmetro,,9421,1,0,4,3,9,2,5,8,5.4,0.57318756
19149,19149,43580,Metro,"Sioux City, IA-NE-SD (Metro)",24986,14,12,12,18,18,14,17,21,17.6,0.704394461
19151,19151,,Nonmetro,,7310,2,5,3,5,3,4,2,3,3.4,0.465116279
19153,19153,19780,Metro,"Des Moines-West Des Moines, IA (Metro)",430640,525,528,533,548,484,534,642,584,558.4,1.296674717
19155,19155,36540,Metro,"Omaha-Council Bluffs, NE-IA (Metro)",93158,112,108,140,134,130,120,147,126,131.4,1.410506881
19157,19157,,Nonmetro,,18914,11,2,6,13,13,5,11,7,9.8,0.518134715
19159,19159,,Nonmetro,,5131,2,0,3,2,3,2,4,1,2.4,0.467745079
19161,19161,,Nonmetro,,10350,2,0,1,3,3,4,7,5,4.4,0.425120773
19163,19163,19340,Metro,"Davenport-Moline-Rock Island, IA-IL (Metro",165224,228,253,243,210,253,232,240,235,234,1.416259139
19165,19165,,Nonmetro,,12167,10,9,12,9,11,11,13,14,11.6,0.953398537
19167,19167,,Nonmetro,,33704,7,7,8,9,10,5,17,12,10.6,0.31450273
19169,19169,11180,Metro,"Ames, IA (Metro)",89542,57,64,61,47,72,73,73,65,66,0.737084273
19171,19171,,Nonmetro,,17767,6,9,6,3,6,15,5,9,7.6,0.427759329
19173,19173,,Nonmetro,,6317,1,5,2,2,2,4,3,4,3,0.474908976
19175,19175,,Nonmetro,,12534,8,4,8,5,8,4,5,6,5.6,0.446784745
19177,19177,,Nonmetro,,7570,0,,3,,,3,1,1,1,0.132100396
19179,19179,36900,Micro,"Ottumwa, IA (Micro)",35625,17,17,17,15,16,18,14,30,18.6,0.522105263
19181,19181,19780,Metro,"Des Moines-West Des Moines, IA (Metro)",46225,59,76,81,81,66,92,104,84,85.4,1.847485127
19183,19183,26980,Metro,"Iowa City, IA (Metro)",21704,19,19,14,18,14,11,22,32,19.4,0.893844453
19185,19185,,Nonmetro,,6403,,1,3,5,1,4,4,5,3.8,0.59347181
19187,19187,22700,Micro,"Fort Dodge, IA (Micro)",38013,18,23,25,27,21,18,28,18,22.4,0.589272091
19189,19189,,Nonmetro,,10866,6,4,2,7,3,8,5,4,5.4,0.496963004
19191,19191,,Nonmetro,,21056,4,5,3,5,6,5,4,7,5.4,0.256458967
19193,19193,43580,Metro,"Sioux City, IA-NE-SD (Metro)",102172,83,100,82,76,83,72,72,80,76.6,0.749716165
19195,19195,32380,Micro,"Mason City, IA (Micro)",7598,2,3,2,6,3,2,7,1,3.8,0.500131614
19197,19197,,Nonmetro,,13229,4,6,8,6,8,2,4,5,5,0.377957518
20001,20001,,Nonmetro,,13371,5,7,9,7,10,3,14,9,8.6,0.643183008
20003,20003,,Nonmetro,,8102,5,4,8,8,4,8,8,8,7.2,0.888669464
20005,20005,11860,Micro,"Atchison, KS (Micro)",16924,8,3,12,9,13,12,10,16,12,0.709052234
20007,20007,,Nonmetro,,4861,1,3,1,3,2,2,4,1,2.4,0.493725571
20009,20009,24460,Micro,"Great Bend, KS (Micro)",27674,12,13,10,10,11,14,19,12,13.2,0.476982005
20011,20011,,Nonmetro,,15173,6,7,10,8,8,9,11,11,9.4,0.619521518
20013,20013,,Nonmetro,,9984,3,1,4,6,3,12,10,10,8.2,0.821314103
20015,20015,48620,Metro,"Wichita, KS (Metro)",65880,100,106,116,119,142,133,151,143,137.6,2.088646023
20017,20017,,Nonmetro,,2790,,,0,1,,3,1,3,1.6,0.573476703
20019,20019,,Nonmetro,,3669,,3,1,4,,1,4,2,2.2,0.599618425
20021,20021,,Nonmetro,,21603,5,23,21,11,7,15,12,13,11.6,0.536962459
20023,20023,,Nonmetro,,2726,3,1,,,3,2,3,1,1.8,0.660308144
